velocity_kms flux_normalized error
-334.2766 0.9255 0.0383
-331.7794 0.9553 0.0386
-329.2822 0.9896 0.0391
-326.7849 0.9493 0.0386
-324.2876 0.9668 0.0390
-321.7904 0.9899 0.0394
-319.2930 0.9613 0.0391
-316.7957 0.9654 0.0389
-314.2983 1.0112 0.0396
-311.8010 0.9262 0.0381
-309.3036 0.9784 0.0393
-306.8061 0.9189 0.0384
-304.3087 0.9460 0.0387
-301.8112 0.8967 0.0378
-299.3138 0.9404 0.0382
-296.8162 0.9673 0.0388
-294.3187 0.9858 0.0393
-291.8212 0.9197 0.0380
-289.3236 0.9658 0.0387
-286.8260 0.8952 0.0378
-284.3284 0.8715 0.0375
-281.8308 0.8683 0.0372
-279.3331 0.9118 0.0382
-276.8355 0.9148 0.0383
-274.3378 0.8600 0.0375
-271.8401 0.8297 0.0366
-269.3423 0.8235 0.0363
-266.8446 0.8715 0.0374
-264.3468 0.8570 0.0370
-261.8490 0.7783 0.0351
-259.3512 0.7810 0.0361
-256.8534 0.6805 0.0334
-254.3555 0.6753 0.0332
-251.8576 0.7041 0.0346
-249.3597 0.6476 0.0341
-246.8618 0.6437 0.0330
-244.3639 0.6452 0.0329
-241.8659 0.6620 0.0334
-239.3679 0.6983 0.0336
-236.8699 0.6806 0.0337
-234.3719 0.6232 0.0326
-231.8738 0.6945 0.0335
-229.3758 0.6949 0.0339
-226.8777 0.6694 0.0341
-224.3796 0.7313 0.0346
-221.8814 0.7482 0.0348
-219.3833 0.7655 0.0349
-216.8851 0.7595 0.0352
-214.3869 0.7908 0.0358
-211.8887 0.8691 0.0370
-209.3905 0.8676 0.0373
-206.8922 0.8248 0.0369
-204.3940 0.8373 0.0370
-201.8957 0.9391 0.0387
-199.3973 0.8918 0.0379
-196.8990 0.9118 0.0378
-194.4007 0.9241 0.0385
-191.9023 0.9372 0.0388
-189.4039 0.9324 0.0387
-186.9055 0.8950 0.0379
-184.4070 0.9305 0.0388
-181.9085 0.9384 0.0389
-179.4101 0.9147 0.0386
-176.9116 0.9441 0.0391
-174.4130 1.0288 0.0407
-171.9145 0.8999 0.0384
-169.4159 0.9555 0.0396
-166.9173 0.9810 0.0397
-164.4187 0.9753 0.0395
-161.9201 0.9792 0.0397
-159.4215 0.9665 0.0391
-156.9228 0.9620 0.0392
-154.4241 0.9759 0.0396
-151.9254 0.9366 0.0389
-149.4266 0.9337 0.0390
-146.9279 0.9262 0.0389
-144.4291 0.9399 0.0388
-141.9303 0.9054 0.0385
-139.4315 0.9513 0.0392
-136.9327 1.0026 0.0401
-134.4338 0.9459 0.0388
-131.9349 0.9046 0.0381
-129.4360 0.9204 0.0390
-126.9371 0.8939 0.0383
-124.4382 0.8802 0.0380
-121.9392 0.8727 0.0378
-119.4402 0.8676 0.0380
-116.9412 0.8610 0.0375
-114.4422 0.8298 0.0370
-111.9431 0.8456 0.0379
-109.4441 0.8837 0.0383
-106.9450 0.8606 0.0378
-104.4459 0.8432 0.0372
-101.9468 0.8314 0.0371
-99.4476 0.8377 0.0375
-96.9484 0.7509 0.0353
-94.4492 0.7261 0.0344
-91.9500 0.7014 0.0343
-89.4508 0.6752 0.0338
-86.9515 0.6253 0.0331
-84.4523 0.6083 0.0323
-81.9530 0.6092 0.0318
-79.4537 0.5890 0.0315
-76.9543 0.5647 0.0312
-74.4550 0.5481 0.0313
-71.9556 0.5322 0.0308
-69.4562 0.6111 0.0323
-66.9568 0.6111 0.0323
-64.4573 0.5727 0.0319
-61.9579 0.5255 0.0307
-59.4584 0.4495 0.0286
-56.9589 0.3245 0.0251
-54.4593 0.1733 0.0201
-51.9598 0.0363 0.0139
-49.4602 0.0133 0.0124
-46.9606 0.0274 0.0125
-44.4610 -0.0007 0.0117
-41.9614 -0.0299 0.0114
-39.4618 -0.0050 0.0118
-36.9621 -0.0005 0.0115
-34.4624 0.0169 0.0132
-31.9627 -0.0050 0.0116
-29.4629 -0.0101 0.0115
-26.9632 0.0126 0.0121
-24.4634 -0.0116 0.0116
-21.9636 -0.0139 0.0113
-19.4638 -0.0103 0.0116
